Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    3, 3,      3,      16,     2,
112_16_1, 112, 112, 1, 1, 16, 16, 1,
112_16_1, 112, 112, 3, 3, 16, 1, 2,
112_16_1, 56, 56, 1, 1, 16, 16, 1,
56_16_1, 56, 56, 1, 1, 16, 72, 1,
56_16_1, 56, 56, 3, 3, 72, 1, 2,
56_16_1, 28, 28, 1, 1, 72, 24, 1,
28_24_1, 28, 28, 1, 1, 24, 88, 1,
28_24_1, 28, 28, 3, 3, 88, 1, 1,
28_24_1, 28, 28, 1, 1, 88, 24, 1,
28_24_2, 28, 28, 1, 1, 24, 96, 1,
28_24_2, 28, 28, 5, 5, 96, 1, 2,
28_24_2, 14, 14, 1, 1, 96, 40, 1,
14_40_1, 14, 14, 1, 1, 40, 240, 1,
14_40_1, 14, 14, 5, 5, 240, 1, 1,
14_40_1, 14, 14, 1, 1, 240, 40, 1,
14_40_2, 14, 14, 1, 1, 40, 240, 1,
14_40_2, 14, 14, 5, 5, 240, 1, 1,
14_40_2, 14, 14, 1, 1, 240, 40, 1,
14_40_3, 14, 14, 1, 1, 40, 120, 1,
14_40_3, 14, 14, 5, 5, 120, 1, 1,
14_40_3, 14, 14, 1, 1, 120, 48, 1,
14_48_1, 14, 14, 1, 1, 48, 144, 1,
14_48_1, 14, 14, 5, 5, 144, 1, 1,
14_48_1, 14, 14, 1, 1, 144, 48, 1,
14_48_2, 14, 14, 1, 1, 48, 288, 1,
14_48_2, 14, 14, 5, 5, 288, 1, 2,
14_48_2, 7, 7, 1, 1, 288, 96, 1,
7_96_1, 7, 7, 1, 1, 96, 576, 1,
7_96_1, 7, 7, 5, 5, 576, 1, 1,
7_96_1, 7, 7, 1, 1, 576, 96, 1,
7_96_2, 7, 7, 1, 1, 96, 576, 1,
7_96_2, 7, 7, 5, 5, 576, 1, 1,
7_96_2, 7, 7, 1, 1, 576, 96, 1,
7_96_conv2d, 7, 7, 1, 1, 96, 576, 1,
1_576_conv2d, 1, 1, 1, 1, 576, 1280, 1,
1_1280_conv2d, 1, 1, 1, 1, 1280, 1000, 1,